Date, Open, High, Low, Close,Arith_Seq
6/20/25,5999.67,6018.2,5952.56,5967.84,1
6/18/25,5987.93,6018.25,5971.89,5980.87,2
6/17/25,6012.15,6023.25,5974.8,5982.72,3
6/16/25,6004,6050.83,6004,6033.11,4
6/13/25,6000.56,6026.16,5963.21,5976.97,5
6/12/25,6009.9,6045.43,6003.88,6045.26,6
6/11/25,6049.38,6059.4,6002.32,6022.24,7
6/10/25,6009.91,6043.01,6000.28,6038.81,8
6/9/25,6004.63,6021.31,5994.18,6005.88,9
6/6/25,5987.06,6016.87,5978.63,6000.36,10
6/5/25,5985.67,5999.7,5921.2,5939.3,11
6/4/25,5978.94,5990.48,5966.11,5970.81,12
6/3/25,5938.56,5981.35,5929,5970.37,13
6/2/25,5896.68,5937.4,5861.43,5935.94,14
5/30/25,5903.67,5922.14,5843.66,5911.69,15
5/29/25,5939.96,5943.13,5873.8,5912.17,16
5/28/25,5925.54,5939.92,5881.88,5888.55,17
5/27/25,5854.07,5924.33,5854.07,5921.54,18
5/23/25,5781.89,5829.51,5767.41,5802.82,19
5/22/25,5841.26,5878.08,5825.82,5842.01,20
5/21/25,5910.18,5938.37,5830.91,5844.61,21
5/20/25,5944.66,5953.06,5909.26,5940.46,22
5/19/25,5902.88,5968.61,5895.69,5963.6,23
5/16/25,5929.09,5958.62,5907.36,5958.38,24
5/15/25,5869.82,5924.21,5865.16,5916.93,25
5/14/25,5896.74,5906.55,5872.11,5892.58,26
5/13/25,5854.15,5906.64,5845.02,5886.55,27
5/12/25,5807.2,5845.37,5786.08,5844.19,28
5/9/25,5679.65,5691.69,5644.15,5659.91,29
5/8/25,5663.6,5720.1,5635.38,5663.94,30
5/7/25,5614.18,5654.73,5578.64,5631.28,31
5/6/25,5605.87,5649.58,5586.04,5606.91,32
5/5/25,5655.32,5683.38,5634.48,5650.38,33
5/2/25,5645.88,5700.7,5642.28,5686.67,34
5/1/25,5625.14,5658.91,5597.35,5604.14,35
4/30/25,5499.44,5581.84,5433.24,5569.06,36
4/29/25,5508.87,5571.95,5505.7,5560.83,37
4/28/25,5529.22,5553.66,5468.64,5528.75,38
4/25/25,5489.73,5528.11,5455.86,5525.21,39
4/24/25,5381.38,5489.4,5371.96,5484.77,40
4/23/25,5395.92,5469.69,5356.17,5375.86,41
4/22/25,5207.67,5309.61,5207.67,5287.76,42
4/21/25,5232.94,5232.94,5101.63,5158.2,43
4/17/25,5305.45,5328.31,5255.58,5282.7,44
4/16/25,5335.75,5367.24,5220.79,5275.7,45
4/15/25,5411.99,5450.41,5386.44,5396.63,46
4/14/25,5441.96,5459.46,5358.02,5405.97,47
4/11/25,5255.56,5381.46,5220.77,5363.36,48
4/10/25,5353.15,5353.15,5115.27,5268.05,49
4/9/25,4965.28,5481.34,4948.43,5456.9,50
4/8/25,5193.57,5267.47,4910.42,4982.77,51
4/7/25,4953.79,5246.57,4835.04,5062.25,52
4/4/25,5292.14,5292.14,5069.9,5074.08,53
4/3/25,5492.74,5499.53,5390.83,5396.52,54
4/2/25,5580.76,5695.31,5571.48,5670.97,55
4/1/25,5597.53,5650.57,5558.52,5633.07,56
3/31/25,5527.91,5627.56,5488.73,5611.85,57
3/28/25,5679.2,5685.89,5572.42,5580.94,58
3/27/25,5695.64,5732.28,5670.94,5693.31,59
3/26/25,5771.66,5783.62,5694.41,5712.2,60
3/25/25,5775.96,5786.95,5760.42,5776.65,61